llm_type,query_type,query,spec_type,generated_params,scores,eval_times
mistral,explicit,"Give me the weather forecast for London today, including temperature, precipitation, and air quality index.",full,"{""q"":""London"",""days"":""1"",""aqi"":""yes""}",100.0,0.8375916481018066
mistral,explicit,Find me the cheapest available economy-class flight from John F. Kennedy Airport (JFK) in New York City to Incheon International Airport (ICN) for two adults departing today.,full,"{""fromId"":""JFK.AIRPORT"",""toId"":""ICN.AIRPORT"",""departDate"":""2024-08-06"",""adults"":""2"",""cabinClass"":""ECONOMY""}",100.0,1.4353902339935303
mistral,explicit,Find a flight from New York City (NYC) to Seoul (ICN) for two adults and one infant,full,"{
  ""originSkyId"": ""NYC_SKYID"",
  ""destinationSkyId"": ""ICN_SKYID"",
  ""originEntityId"": ""NYC_ENTITYID"",
  ""destinationEntityId"": ""ICN_ENTITYID"",
  ""date"": ""YYYY-MM-DD"",
  ""adults"": 2,
  ""infants"": 1
}",77.5,2.1034839153289795
mistral,explicit,Find airports in New York City (NYC) that offer flights. Display the results in Spanish (Mexico locale).,full,"{""query"":""New York City"",""locale"":""es_MX""}",100.0,0.7557859420776367
mistral,explicit,"Find a hotel in New York City (NYC) for two adults, checking in today and checking out next Friday. Display prices in USD.",full,"{""geoId"":""g60813"",""checkIn"":""2024-08-07"",""checkOut"":""2024-08-16"",""adults"":""2"",""currencyCode"":""USD""}",100.0,2.100119113922119
mistral,explicit,"Find a hotel in New York City (NYC). We need 2 rooms, each for one adult, who will be checking in on December 16 and checking out on December 20. Display prices in USD.",full,"{""geoId"":""g60763"",""checkIn"":""2023-12-16"",""checkOut"":""2023-12-20"",""rooms"":2,""adults"":2,""currencyCode"":""USD""}",100.0,1.4591968059539795
mistral,explicit,Find news articles about climate change specifically in Ireland.,full,"{""query"":""climate change"",""region"":""IE""}",76.66666666666667,0.6372342109680176
mistral,explicit,"Find hotels that have closed down in Boston, USA, and provide their names and contact email addresses.",full,"{""query"":""hotels Boston USA"",""business_status"":""CLOSED"",""extract_emails_and_contacts"":True,""fields"":""business_id,name,email"",""region"":""us""}",-1.0,1.236847162246704
mistral,explicit,"Retrieve reviews for this business with id=0x89c259b5a9bd152b:0x31453e62a3be9f76, specifically for its location in Ireland.",full,"{""business_id"":""0x89c259b5a9bd152b:0x31453e62a3be9f76"",""region"":""ie"",""language"":""en""}",85.0,1.9284098148345947
mistral,explicit,Calculate 1.7777 minus 2.9057345 and round the result to five decimal places.,full,"{""numbers"":""1.7777-2.9057345"",""decimalPlaces"":""5""}",100.0,1.0777828693389893
mistral,explicit,Search for Tamagotchi toy in new condition that are on sale in the UK.,full,"{""q"":""Tamagotchi toy"",""country"":""gb"",""product_condition"":""NEW"",""on_sale"":true}",100.0,1.0681250095367432
mistral,explicit,Search for new Tamagotchi toy under $20.,full,"{""q"":""Tamagotchi toy"",""country"":""us"",""language"":""en"",""page"":1,""limit"":30,""sort_by"":""BEST_MATCH"",""max_price"":20,""product_condition"":""NEW"",""min_rating"":""ANY""}",40.0,2.6408531665802
mistral,explicit,Give me product reviews for product with ID=11577822456427762145 in the United States and translate the results to Spanish.,full,"{""product_id"":""11577822456427762145"",""country"":""us"",""language"":""es""}",100.0,1.1069962978363037
mistral,explicit,Find product offers for product with ID=11577822456427762145 in the United States and translate the results to Spanish.,full,"{""product_id"":""11577822456427762145"",""country"":""us"",""language"":""es""}",100.0,1.0495502948760986
mistral,explicit,"Provide details for product with ID=11577822456427762145 available in Korea, and translate the results to English.",full,"{""q"":""11577822456427762145"",""country"":""kr"",""language"":""en""}",66.66666666666667,1.1038458347320557
mistral,explicit,I need the weather forecast in Paris for this week. Include information about high tides as well.,full,"{""q"":""Paris"",""days"":7,""tides"":""yes""}",100.0,1.0943832397460938
mistral,explicit,I’m planning to visit Restaurant_Review-g60763-d12425739-Reviews-Piccola_Cucina_Estiatorio-New_York_City_New_York in NYC. Please display the prices in SEK (Swedish Krona).,full,"{""restaurantsId"":""Restaurant_Review-g60763-d12425739-Reviews-Piccola_Cucina_Estiatorio-New_York_City_New_York"",""currencyCode"":""SEK""}",100.0,3.4476916790008545
mistral,explicit,Give me the date of when artist with ID 2uFUBdaVGtyMqckSeCl0Qj released their album Experience.,full,"{""artistId"":""2uFUBdaVGtyMqckSeCl0Qj"",""type"":""album""}",100.0,0.9967966079711914
mistral,explicit,When did artist with ID=2uFUBdaVGtyMqckSeCl0Qj release their single Night?,full,"{""artistId"":""2uFUBdaVGtyMqckSeCl0Qj"",""type"":""single""}",100.0,0.9673018455505371
mistral,explicit,Give me the date that user sparklemilktea joined Instagram.,full,"{""username_or_id_or_url"":""sparklemilktea"",""include_about"":""true""}",100.0,0.938662052154541
mistral,explicit,Give me at least 20 followers of the user sparklemilktea.,full,"{""username_or_id_or_url"":""sparklemilktea"",""amount"":""20""}",100.0,0.9300916194915771
mistral,explicit,Give me at least 20 people that the user sparklemilktea follows.,full,"{""username_or_id_or_url"":""sparklemilktea"",""amount"":""20""}",100.0,1.1991596221923828
mistral,explicit,Show me posts by kiyomi_bori and provide the HTML code to embed them.,full,"{""username_or_id_or_url"":""kiyomi_bori"",""url_embed_safe"":""true""}",100.0,1.0438435077667236
mistral,explicit,Search for the user kiyomi_bori and provide an embeddable profile link.,full,"{""search_query"":""kiyomi_bori"",""url_embed_safe"":""true""}",100.0,0.7852802276611328
