llm_type,query_type,query,spec_type,generated_params,scores,eval_times
mistral,explicit,"Give me the weather forecast for London today, including temperature, precipitation, and air quality index.",full,"{""q"":""London"",""days"":""1"",""aqi"":""yes""}",100.0,0.8802001476287842
mistral,explicit,Find me the cheapest available economy-class flight from John F. Kennedy Airport (JFK) in New York City to Incheon International Airport (ICN) for two adults departing today.,full,"{""fromId"":""JFK.AIRPORT"",""toId"":""ICN.AIRPORT"",""departDate"":""2023-10-05"",""adults"":""2"",""cabinClass"":""ECONOMY""}",100.0,1.468090295791626
mistral,ambiguous,"What's the weather in London today? I don't know if I can go out this afternoon with my allergies, they get bad with the air quality",full,"{""q"":""London"",""days"":""1"",""aqi"":""yes""}",100.0,0.7166647911071777
mistral,ambiguous,I need an affordable flight for today's date from JFK airport to Seoul for my husband and I,full,"{""fromId"":""JFK.AIRPORT"",""toId"":""ICN.AIRPORT"",""departDate"":""2024-08-07"",""adults"":""2"",""cabinClass"":""ECONOMY""}",100.0,2.8644182682037354
mistral,vague,Is it a good idea to go out in London today?,full,"{""q"":""London"",""days"":""1""}",76.66666666666667,0.6428432464599609
mistral,vague,Can I get a good flight deal from New York to South Korea today?,full,"{""fromId"":""NYC.AIRPORT"",""toId"":""SEL.AIRPORT"",""departDate"":""2023-10-06""}",72.0,2.1387088298797607
gpt-3.5,explicit,"Give me the weather forecast for London today, including temperature, precipitation, and air quality index.",full,"{
  ""q"": ""London"",
  ""days"": ""1"",
  ""aqi"": ""yes""
}",100.0,1.3320698738098145
gpt-3.5,explicit,Find me the cheapest available economy-class flight from John F. Kennedy Airport (JFK) in New York City to Incheon International Airport (ICN) for two adults departing today.,full,"{
    ""fromId"": ""JFK.AIRPORT"",
    ""toId"": ""ICN.AIRPORT"",
    ""departDate"": ""2022-11-03"",
    ""adults"": ""2"",
    ""cabinClass"": ""ECONOMY""
}",100.0,0.9386734962463379
gpt-3.5,ambiguous,"What's the weather in London today? I don't know if I can go out this afternoon with my allergies, they get bad with the air quality",full,"{
  ""q"": ""London"",
  ""lang"": ""en"",
  ""aqi"": ""yes""
}",66.66666666666667,0.6239168643951416
gpt-3.5,ambiguous,I need an affordable flight for today's date from JFK airport to Seoul for my husband and I,full,"{
  ""fromId"": ""JFK.AIRPORT"",
  ""toId"": ""ICN.AIRPORT"",
  ""departDate"": ""2022-03-02"",
  ""adults"": ""2""
}",86.0,0.9758856296539307
gpt-3.5,vague,Is it a good idea to go out in London today?,full,"{
  ""q"": ""London"",
  ""dt"": ""2022-01-25""
}",43.333333333333336,1.341282844543457
gpt-3.5,vague,Can I get a good flight deal from New York to South Korea today?,full,"{
    ""fromId"": ""JFK.AIRPORT"",
    ""toId"": ""ICN.AIRPORT"",
    ""departDate"": ""2022-01-01""
}",72.0,1.0861427783966064
gpt-4o,explicit,"Give me the weather forecast for London today, including temperature, precipitation, and air quality index.",full,"{""q"": ""London"", ""dt"": ""2023-10-04"", ""aqi"": ""yes""}",66.66666666666667,1.1605432033538818
gpt-4o,explicit,Find me the cheapest available economy-class flight from John F. Kennedy Airport (JFK) in New York City to Incheon International Airport (ICN) for two adults departing today.,full,"{'fromId': 'JFK.AIRPORT', 'toId': 'ICN.AIRPORT', 'departDate': '2023-10-08', 'adults': '2', 'cabinClass': 'ECONOMY'}",100.0,2.215371608734131
gpt-4o,ambiguous,"What's the weather in London today? I don't know if I can go out this afternoon with my allergies, they get bad with the air quality",full,"{'q': 'London', 'dt': '2023-10-11', 'hour': '15', 'aqi': 'yes'}",56.66666666666667,1.6175007820129395
gpt-4o,ambiguous,I need an affordable flight for today's date from JFK airport to Seoul for my husband and I,full,"{'fromId': 'JFK.AIRPORT', 'toId': 'ICN.AIRPORT', 'departDate': '2023-10-15', 'adults': '2', 'cabinClass': 'ECONOMY'}",100.0,1.2571918964385986
gpt-4o,vague,Is it a good idea to go out in London today?,full,"{""q"": ""London""}",53.333333333333336,0.6826021671295166
gpt-4o,vague,Can I get a good flight deal from New York to South Korea today?,full,"{'fromId': 'JFK.AIRPORT', 'toId': 'ICN.AIRPORT', 'departDate': '2023-10-13'}",72.0,1.0114824771881104
