llm_type,query_type,query,spec_type,generated_params,ground_truth,precision,recall,hallucination_count,eval_times
mistral,explicit,"Give me the weather forecast for London today, including temperature, precipitation, and air quality index.",full,"{""q"":""London"",""dt"":""2023-10-05"",""aqi"":""yes""}","{'q': 'London', 'days': '1', 'aqi': 'yes'}",0.6666666666666666,,0,1.0499300956726074
mistral,ambiguous,"What's the weather in London today? I don't know if I can go out this afternoon with my allergies, they get bad with the air quality",full,"{""q"":""London"",""days"":""1"",""aqi"":""yes""}","{'q': 'London', 'days': '1', 'aqi': 'yes'}",1.0,,0,0.7853453159332275
mistral,vague,Is it a good idea to go out in London today?,full,"{""q"":""London"",""days"":""1""}","{'q': 'London', 'days': '1', 'aqi': 'yes'}",0.6666666666666666,,0,0.6279165744781494
mistral,explicit,Find me the cheapest available economy-class flight from John F. Kennedy Airport (JFK) in New York City to Incheon International Airport (ICN) for two adults departing today.,full,"{""fromId"":""JFK.AIRPORT"",""toId"":""ICN.AIRPORT"",""departDate"":""2024-08-07"",""adults"":""2"",""cabinClass"":""ECONOMY""}","{'fromId': 'JFK.AIRPORT', 'toId': 'STO.AIRPORT', 'departDate': '2024-12-15', 'adults': '2', 'cabinClass': 'ECONOMY'}",1.0,,0,1.5607244968414307
mistral,ambiguous,I need an affordable flight for today's date from JFK airport to Seoul for my husband and I,full,"{""fromId"":""JFK.AIRPORT"",""toId"":""ICN.AIRPORT"",""departDate"":""2024-08-07"",""adults"":""2"",""cabinClass"":""ECONOMY""}","{'fromId': 'JFK.AIRPORT', 'toId': 'STO.AIRPORT', 'departDate': '2024-12-15', 'adults': '2', 'cabinClass': 'ECONOMY'}",1.0,,0,3.0342888832092285
mistral,vague,Can I get a good flight deal from New York to South Korea today?,full,"{""fromId"":""NYC.AIRPORT"",""toId"":""SEL.AIRPORT"",""departDate"":""2023-10-06""}","{'fromId': 'JFK.AIRPORT', 'toId': 'STO.AIRPORT', 'departDate': '2024-12-15', 'adults': '2', 'cabinClass': 'ECONOMY'}",0.6,,0,1.0956945419311523
mistral,explicit,Find a flight from New York City (NYC) to Seoul (ICN) for two adults and one infant,full,"{'originSkyId': 'NYC_SKY', 'destinationSkyId': 'ICN_SKY', 'originEntityId': 'NYC_ENTITY', 'destinationEntityId': 'ICN_ENTITY', 'date': '2023-12-01', 'adults': 2, 'infants': 1, 'cabinClass': 'economy', 'currency': 'USD', 'market': 'en-US', 'countryCode': 'US'}","{'originSkyId': 'NYC', 'destinationSkyId': 'STO', 'adults': '2', 'infants': '1'}",1.0,,0,5.352666139602661
mistral,ambiguous,"My wife, newborn, and I need to visit her parents in Seoul. We're leaving from NYC.",full,"{'originSkyId': 'NYC_SKYID', 'destinationSkyId': 'SEL_SKYID', 'originEntityId': 'NYC_ENTITYID', 'destinationEntityId': 'SEL_ENTITYID', 'date': '2023-12-01', 'adults': 2, 'infants': 1, 'cabinClass': 'economy', 'currency': 'USD', 'market': 'en-US', 'countryCode': 'US'}","{'originSkyId': 'NYC', 'destinationSkyId': 'STO', 'adults': '2', 'infants': '1'}",1.0,,0,3.1570887565612793
mistral,vague,Looking for a way to get my family to Seoul.,full,"{""originSkyId"":"""",""destinationSkyId"":""SEL"",""originEntityId"":"""",""destinationEntityId"":"""",""date"":"""",""cabinClass"":""economy"",""adults"":2,""children"":2,""infants"":0,""sortBy"":""best"",""currency"":""USD"",""market"":""en-US"",""countryCode"":""US""}","{'originSkyId': 'NYC', 'destinationSkyId': 'STO', 'adults': '2', 'infants': '1'}",1.0,,0,1.780710220336914
mistral,explicit,Find airports in New York City (NYC) that offer flights. Display the results in Spanish (Mexico locale).,full,"{""query"":""New York City"",""locale"":""es_MX""}","{'query': 'NYC', 'locale': 'es-MX'}",1.0,,0,0.6902561187744141
mistral,ambiguous,"I need flights from NYC but I can't understand English, I speak Spanish.",full,"{""query"":""NYC"",""locale"":""es-ES""}","{'query': 'NYC', 'locale': 'es-MX'}",1.0,,0,0.6214809417724609
mistral,vague,Help me find flights from NYC in a language I understand.,full,"{""query"":""NYC"",""locale"":""en-US""}","{'query': 'NYC', 'locale': 'es-MX'}",1.0,,0,0.6685316562652588
mistral,explicit,"Find a hotel in New York City (NYC) for two adults, checking in today and checking out next Friday. Display prices in USD.",full,"{""geoId"":""g60763"",""checkIn"":""2023-10-05"",""checkOut"":""2023-10-13"",""adults"":2,""currencyCode"":""USD""}","{'geoId': 'NYC', 'checkIn': '2024-12-16', 'checkOut': '2024-12-20', 'adults': '2', 'currencyCode': 'USD'}",1.0,,0,1.3545398712158203
mistral,ambiguous,I need a hotel for my husband and I in NYC. We'll be staying from today until next Friday.,full,"{""geoId"":""304335"",""checkIn"":""2023-10-05"",""checkOut"":""2023-10-13"",""adults"":2,""rooms"":1}","{'geoId': 'NYC', 'checkIn': '2024-12-16', 'checkOut': '2024-12-20', 'adults': '2', 'currencyCode': 'USD'}",0.8,,0,1.663728952407837
mistral,vague,We need a hotel in New York for a few days.,full,"{""geoId"":""g60763"",""checkIn"":""2023-10-01"",""checkOut"":""2023-10-05""}","{'geoId': 'NYC', 'checkIn': '2024-12-16', 'checkOut': '2024-12-20', 'adults': '2', 'currencyCode': 'USD'}",0.6,,0,1.244009256362915
mistral,explicit,"Find a hotel in New York City (NYC). We need 2 rooms, each for one adult, who will be checking in on December 16 and checking out on December 20. Display prices in USD.",full,"{""geoId"":""g60763"",""checkIn"":""2023-12-16"",""checkOut"":""2023-12-20"",""rooms"":2,""adults"":2,""currencyCode"":""USD""}","{'geoId': 'NYC', 'checkIn': '2024-12-16', 'checkOut': '2024-12-20', 'adults': '2', 'rooms': '2', 'currencyCode': 'USD'}",1.0,,0,2.419412851333618
mistral,ambiguous,My coworker and I need a separate room for our business trip. We'll be in NYC from the 16th to the 20th.,full,"{""geoId"":""g60813"",""checkIn"":""2023-10-16"",""checkOut"":""2023-10-20"",""rooms"":2,""adults"":2}","{'geoId': 'NYC', 'checkIn': '2024-12-16', 'checkOut': '2024-12-20', 'adults': '2', 'rooms': '2', 'currencyCode': 'USD'}",0.8333333333333334,,0,1.684978723526001
mistral,vague,We're looking for a place to stay in NYC for a work trip.,full,"{""geoId"":""g60813"",""checkIn"":""2023-10-01"",""checkOut"":""2023-10-05"",""adults"":1,""rooms"":1}","{'geoId': 'NYC', 'checkIn': '2024-12-16', 'checkOut': '2024-12-20', 'adults': '2', 'rooms': '2', 'currencyCode': 'USD'}",0.8333333333333334,,0,1.4373643398284912
mistral,explicit,Find news articles about climate change specifically in Ireland.,full,"{""query"":""climate change"",""region"":""IE""}","{'query': 'Climate Change', 'language': '', 'region': 'IE'}",0.6666666666666666,,0,0.6256463527679443
mistral,ambiguous,I've heard about climate issues in Ireland. Any recent news?,full,"{""query"":""climate issues Ireland"",""region"":""IE""}","{'query': 'Climate Change', 'language': '', 'region': 'IE'}",0.6666666666666666,,0,0.6431889533996582
mistral,vague,What’s happening to Ireland?,full,"{""query"":""Ireland"",""language"":""en"",""region"":""IE""}","{'query': 'Climate Change', 'language': '', 'region': 'IE'}",1.0,,0,0.8083827495574951
