llm_type,query_type,query,spec_type,generated_params,scores,eval_times
gpt-4o,explicit,"Give me the weather forecast for London today, including temperature, precipitation, and air quality index.",full,"{'q': 'London', 'dt': '2023-10-05', 'aqi': 'yes'}",66.66666666666667,0.973823070526123
gpt-4o,explicit,Find me the cheapest available economy-class flight from John F. Kennedy Airport (JFK) in New York City to Incheon International Airport (ICN) for two adults departing today.,full,"{'fromId': 'JFK.AIRPORT', 'toId': 'ICN.AIRPORT', 'departDate': '2023-10-17', 'adults': '2', 'cabinClass': 'ECONOMY'}",100.0,2.4177305698394775
gpt-4o,explicit,Find a flight from New York City (NYC) to Seoul (ICN) for two adults and one infant,full,"{'originSkyId': 'NYC', 'destinationSkyId': 'ICN', 'originEntityId': 'NYC', 'destinationEntityId': 'ICN', 'date': '2023-12-01', 'adults': '2', 'infants': '1'}",77.5,1.427191972732544
gpt-4o,explicit,Find airports in New York City (NYC) that offer flights. Display the results in Spanish (Mexico locale).,full,"{""query"": ""New York City"", ""locale"": ""es-MX""}",100.0,0.7903721332550049
gpt-4o,explicit,"Find a hotel in New York City (NYC) for two adults, checking in today and checking out next Friday. Display prices in USD.",full,"{'geoId': 'New York City', 'checkIn': '2023-10-05', 'checkOut': '2023-10-13', 'adults': '2', 'currencyCode': 'USD'}",100.0,1.2428319454193115
gpt-4o,explicit,"Find a hotel in New York City (NYC). We need 2 rooms, each for one adult, who will be checking in on December 16 and checking out on December 20. Display prices in USD.",full,"{'geoId': 'New York City (NYC)', 'checkIn': '2023-12-16', 'checkOut': '2023-12-20', 'rooms': '2', 'adults': '2', 'currencyCode': 'USD'}",100.0,1.309438943862915
gpt-4o,explicit,Find news articles about climate change specifically in Ireland.,full,"{""query"": ""climate change"", ""region"": ""IE""}",76.66666666666667,0.8099210262298584
gpt-4o,explicit,"Find hotels that have closed down in Boston, USA, and provide their names and contact email addresses.",full,"{'query': 'hotels', 'region': 'us', 'business_status': 'CLOSED', 'fields': 'name,email', 'lat': '42.3601', 'lng': '-71.0589'}",36.66666666666667,1.2293460369110107
gpt-4o,explicit,"Retrieve reviews for this business with id=0x89c259b5a9bd152b:0x31453e62a3be9f76, specifically for its location in Ireland.",full,"{'business_id': '0x89c259b5a9bd152b:0x31453e62a3be9f76', 'region': 'ie'}",100.0,1.4242801666259766
gpt-4o,explicit,Calculate 1.7777 minus 2.9057345 and round the result to five decimal places.,full,"{""numbers"": ""1.7777 - 2.9057345"", ""decimalPlaces"": ""5""}",100.0,0.8671696186065674
gpt-4o,explicit,Search for Tamagotchi toy in new condition that are on sale in the UK.,full,"{'q': 'Tamagotchi toy', 'country': 'gb', 'product_condition': 'NEW', 'on_sale': 'true'}",100.0,2.7110390663146973
gpt-4o,explicit,Search for new Tamagotchi toy under $20.,full,"{'q': 'Tamagotchi toy', 'max_price': '20', 'product_condition': 'NEW'}",100.0,1.1154215335845947
gpt-4o,explicit,Give me product reviews for product with ID=11577822456427762145 in the United States and translate the results to Spanish.,full,"{'product_id': '11577822456427762145', 'country': 'us', 'language': 'es'}",100.0,1.5125668048858643
gpt-4o,explicit,Find product offers for product with ID=11577822456427762145 in the United States and translate the results to Spanish.,full,"{""product_id"": ""11577822456427762145"", ""country"": ""us"", ""language"": ""es""}",100.0,1.0581870079040527
gpt-4o,explicit,"Provide details for product with ID=11577822456427762145 available in Korea, and translate the results to English.",full,"{'q': '11577822456427762145', 'country': 'us', 'language': 'en'}",66.66666666666667,1.5911517143249512
