llm_type,query_type,query,spec_type,generated_params,scores,eval_times
gpt-3.5,explicit,"Give me the weather forecast for London today, including temperature, precipitation, and air quality index.",full,"{
    ""q"": ""London"",
    ""days"": ""1"",
    ""lang"": ""en"",
    ""aqi"": ""yes""
}",90.0,0.8621783256530762
gpt-3.5,explicit,Find me the cheapest available economy-class flight from John F. Kennedy Airport (JFK) in New York City to Incheon International Airport (ICN) for two adults departing today.,full,"{
    ""fromId"": ""JFK.AIRPORT"",
    ""toId"": ""ICN.AIRPORT"",
    ""departDate"": ""2022-12-01"",
    ""adults"": ""2"",
    ""cabinClass"": ""ECONOMY""
}",100.0,0.9797427654266357
gpt-3.5,explicit,Find a flight from New York City (NYC) to Seoul (ICN) for two adults and one infant,full,"{
    ""originSkyId"": ""NYC"",
    ""destinationSkyId"": ""ICN"",
    ""originEntityId"": ""NYCA-sky"",
    ""destinationEntityId"": ""ICN-sky"",
    ""date"": ""2022-08-15"",
    ""adults"": ""2"",
    ""children"": ""0"",
    ""infants"": ""1""
}",70.0,1.9357738494873047
gpt-3.5,explicit,Find airports in New York City (NYC) that offer flights. Display the results in Spanish (Mexico locale).,full,"{
    ""query"": ""New York City"",
    ""locale"": ""es_MX""
}",100.0,0.7240774631500244
gpt-3.5,explicit,"Find a hotel in New York City (NYC) for two adults, checking in today and checking out next Friday. Display prices in USD.",full,"{
  ""geoId"": ""60763"",
  ""checkIn"": ""2022-09-28"",
  ""checkOut"": ""2022-10-07"",
  ""adults"": ""2"",
  ""currencyCode"": ""USD""
}",100.0,2.1436259746551514
gpt-3.5,explicit,"Find a hotel in New York City (NYC). We need 2 rooms, each for one adult, who will be checking in on December 16 and checking out on December 20. Display prices in USD.",full,"{
    ""geoId"": ""289"",
    ""checkIn"": ""2022-12-16"",
    ""checkOut"": ""2022-12-20"",
    ""adults"": ""1"",
    ""rooms"": ""2"",
    ""currencyCode"": ""USD""
}",100.0,1.3832733631134033
gpt-3.5,explicit,Find news articles about climate change specifically in Ireland.,full,"{
    ""query"": ""climate change"",
    ""language"": ""en"",
    ""region"": ""IE""
}",100.0,0.6830039024353027
gpt-3.5,explicit,"Find hotels that have closed down in Boston, USA, and provide their names and contact email addresses.",full,"{
    ""query"": ""hotels closed"",
    ""region"": ""us"",
    ""business_status"": ""CLOSED"",
    ""fields"": ""business_name,email""
}",56.66666666666667,0.8534924983978271
gpt-3.5,explicit,"Retrieve reviews for this business with id=0x89c259b5a9bd152b:0x31453e62a3be9f76, specifically for its location in Ireland.",full,"{
    ""business_id"": ""0x89c259b5a9bd152b:0x31453e62a3be9f76"",
    ""region"": ""Ireland""
}",100.0,0.7535631656646729
gpt-3.5,explicit,Calculate 1.7777 minus 2.9057345 and round the result to five decimal places.,full,"{
    ""numbers"": ""1.7777-2.9057345"",
    ""decimalPlaces"": ""5""
}",100.0,0.9990229606628418
